Senior Program Manager, 433.92, 446.50, 442.04, 454.86, 468.05, 481.62
Program Manager, 382.26, 393.35, 389.42, 400.71, 412.33, 424.29
Project Manager, 248.20, 255.40, 252.85, 260.18, 267.73, 275.49
Task Manager, 187.31, 192.74, 190.81, 196.34, 202.03, 207.89
Subject Matter Expert 1, 221.70, 228.13, 225.85, 232.40, 239.14, 246.08
Subject Matter Expert 2, 255.03, 262.43, 259.81, 267.34, 275.09, 283.07
Subject Matter Expert 3, 302.56, 311.33, 308.22, 317.16, 326.36, 335.82
Technical Architect 1, 187.31, 192.74, 190.81, 196.34, 202.03, 207.89
Technical Architect 2, 248.20, 255.40, 252.85, 260.18, 267.73, 275.49
System Administrator 1, 110.60, 113.81, 112.67, 115.94, 119.30, 122.76
System Administrator 2, 161.30, 165.98, 164.32, 169.09, 173.99, 179.04
System Administrator 3, 187.31, 192.74, 190.81, 196.34, 202.03, 207.89
Database Administrator 1, 110.60, 113.81, 112.67, 115.94, 119.30, 122.76
Database Administrator 2, 138.72, 142.74, 141.31, 145.41, 149.63, 153.97
Database Administrator 3, 164.50, 169.27, 167.58, 172.44, 177.44, 182.59
Functional Specialist 1, 119.47, 122.93, 121.70, 125.23, 128.86, 132.60
Functional Specialist 2, 161.30, 165.98, 164.32, 169.09, 173.99, 179.04
Functional Specialist 3, 195.75, 201.43, 199.42, 205.20, 211.15, 217.27
Consultant 1, 113.57, 116.86, 115.69, 119.05, 122.50, 126.05
Consultant 2, 152.14, 156.55, 154.98, 159.47, 164.09, 168.85
Consultant 3, 185.45, 190.83, 188.92, 194.40, 200.04, 205.84
Engineer 1, 107.83, 110.96, 109.85, 113.04, 116.32, 119.69
Engineer 2, 138.72, 142.74, 141.31, 145.41, 149.63, 153.97
Engineer 3, 161.30, 165.98, 164.32, 169.09, 173.99, 179.04
Technical Writer, 109.93, 113.12, 111.99, 115.24, 118.58, 122.02
Help Desk Manager, 118.34, 121.77, 120.55, 124.05, 127.65, 131.35
Help Desk Specialist, 75.94, 78.14, 77.36, 79.60, 81.91, 84.29
Programmer 1, 84.77, 87.23, 86.36, 88.86, 91.44, 94.09
Programmer 2, 133.43, 137.30, 135.93, 139.87, 143.93, 148.10
Programmer 3, 180.64, 185.88, 184.02, 189.36, 194.85, 200.50
Operations Manager, 145.93, 150.16, 148.66, 152.97, 157.41, 161.97
Agile Coach, 187.31, 192.74, 190.81, 196.34, 202.03, 207.89
Scrum Master, 216.69, 222.97, 220.74, 227.14, 233.73, 240.51
Financial Analyst, 161.30, 165.98, 164.32, 169.09, 173.99, 179.04
Data Architect, 187.31, 192.74, 190.81, 196.34, 202.03, 207.89
Program Analyst, 109.93, 113.12, 111.99, 115.24, 118.58, 122.02
Application Architect 1, 129.09, 132.83, 131.50, 135.31, 139.23, 143.27
Application Architect 2, 162.35, 167.06, 165.39, 170.19, 175.13, 180.21
Application Architect 3, 187.31, 192.74, 190.81, 196.34, 202.03, 207.89
Customer Service and Support Technician 1, 60.80, 62.56, 61.93, 63.73, 65.58, 67.48
Customer Service and Support Technician 2, 79.00, 81.29, 80.48, 82.81, 85.21, 87.68
Customer Service and Support Technician 3, 89.04, 91.62, 90.70, 93.33, 96.04, 98.83
Customer Service and Support Supervisor 1, 79.00, 81.29, 80.48, 82.81, 85.21, 87.68
Customer Service and Support Supervisor 2, 89.04, 91.62, 90.70, 93.33, 96.04, 98.83
Customer Service and Support Supervisor 3, 98.26, 101.11, 100.10, 103.00, 105.99, 109.06
Customer Service and Support Manager 1, 89.04, 91.62, 90.70, 93.33, 96.04, 98.83
Customer Service and Support Manager 2, 98.26, 101.11, 100.10, 103.00, 105.99, 109.06
Customer Service and Support Manager 3, 116.78, 120.17, 118.97, 122.42, 125.97, 129.62
Application Systems Analyst, 162.35, 167.06, 165.39, 170.19, 175.13, 180.21
Security Specialist 1, 108.55, 111.70, 110.58, 113.79, 117.09, 120.49
Security Specialist 2, 138.72, 142.74, 141.31, 145.41, 149.63, 153.97
Security Specialist 3, 187.31, 192.74, 190.81, 196.34, 202.03, 207.89
Business Analyst 1, 110.60, 113.81, 112.67, 115.94, 119.30, 122.76
Business Analyst 2, 161.30, 165.98, 164.32, 169.09, 173.99, 179.04
Business Analyst 3, 216.69, 222.97, 220.74, 227.14, 233.73, 240.51
Quality Assurance Specialist, 138.72, 142.74, 141.31, 145.41, 149.63, 153.97
Network Administrator, 145.93, 150.16, 148.66, 152.97, 157.41, 161.97
Enterprise Architect, 221.70, 228.13, 225.85, 232.40, 239.14, 246.08
ITIL Service Manager 1, 98.26, 101.11, 100.10, 103.00, 105.99, 109.06
ITIL Service Manager 2, 116.78, 120.17, 118.97, 122.42, 125.97, 129.62
ITIL Service Manager 3, 145.72, 149.95, 148.45, 152.76, 157.19, 161.75
Training Specialist, 145.93, 150.16, 148.66, 152.97, 157.41, 161.97
Storage Administrator, 138.72, 142.74, 141.31, 145.41, 149.63, 153.97
Analyst 1, 101.90, 104.86, 103.81, 106.82, 109.92, 113.11
Analyst 2, 129.09, 132.83, 131.50, 135.31, 139.23, 143.27
Analyst 3, 162.35, 167.06, 165.39, 170.19, 175.13, 180.21
Web Designer, 138.72, 142.74, 141.31, 145.41, 149.63, 153.97
