,Role,September 2018 - August 2019,September 2019 - August 2020,September 2020 - August 2021,September 2021 - August 2022,September 2022 - August 2023,Education,Functional Responsibility,Years of Experience,Company,socio_economic
0,Cyber Security Engineer Level III,142.71,145.57,148.48,151.45,154.48,Bachelor's,"Performs security assessments, conducts system analysis, design, development, test and evaluation activities,  ensures the integration of software, hardware, reliability,  maintainability, safety, survivability, human and other  requirements in the total security engineering effort.  Formulates operational concept, performs mission and  functional analyses, conducts requirements and  information analysis, cost-benefit analysis, system trade  studies, and risk analysis. Selects system architecture  components, allocates requirements and prepares  specifications. ",10,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
1,Cyber Security Engineer Level II,119.99,122.39,124.84,127.34,129.88,Bachelor's,"Performs security assessments, conducts system analysis, design, development, test and evaluation activities, ensures the integration of software, hardware, reliability, maintainability, safety, survivability, human and other requirements in the total security engineering effort. Formulates operational concept, performs mission and functional analyses, conducts requirements and information analysis, cost-benefit analysis, system trade studies, and risk analysis. Selects system architecture components, allocates requirements and prepares specifications. ",7,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
2,Cyber Security Engineer Level I,99.0,100.98,103.0,105.06,107.16,Bachelor's,"Performs security assessments, conducts system analysis, design, development, test and evaluation activities, ensures the integration of software, hardware, reliability, maintainability, safety, survivability, human and other requirements in the total security engineering effort. Formulates operational concept, performs mission and functional analyses, conducts requirements and information analysis, cost-benefit analysis, system trade studies, and risk analysis. Selects system architecture components, allocates requirements and prepares specifications. ",3,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
3,Cyber Security Analyst Level III,142.71,145.57,148.48,151.45,154.48,Bachelor's,"Reviews and provides recommendations for security assessment plans and results, creates plans of action and milestones (POA&Ms), prepares and documents findings, assists with the certification and accreditation process. Assists the engineer at times with conducting system analysis, design, development, test and evaluation activities, ensuring the integration of software, hardware, reliability, maintainability, safety, survivability, human and other requirements in the total security engineering effort. Identifies requirements and participates in information analysis, cost-benefit analysis, system trade studies, and risk analysis. Assists in the selection of system architecture components, allocating requirements and preparing specifications",10,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
4,Cyber Security Analyst Level II,119.99,122.39,124.84,127.34,129.88,Bachelor's,"Reviews and provides recommendations for security assessment plans and results, creates plans of action and milestones (POA&Ms), prepares and documents findings, assists with the certification and accreditation process. Assists the engineer at times with conducting system analysis, design, development, test and evaluation activities, ensuring the integration of software, hardware, reliability, maintainability, safety, survivability, human and other requirements in the total security engineering effort. Identifies requirements and participates in information analysis, cost-benefit analysis, system trade studies, and risk analysis. Assists in the selection of system architecture components, allocating requirements and preparing specifications",7,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
5,Cyber Security Analyst Level I,99.0,100.98,103.0,105.06,107.16,Bachelor's,"Reviews and provides recommendations for security assessment plans and results, creates plans of action and milestones (POA&Ms), prepares and documents findings, assists with the certification and accreditation process. Assists the engineer at times with conducting system analysis, design, development, test and evaluation activities, ensuring the integration of software, hardware, reliability, maintainability, safety, survivability, human and other requirements in the total security engineering effort. Identifies requirements and participates in information analysis, cost-benefit analysis, system trade studies, and risk analysis. Assists in the selection of system architecture components, allocating requirements and preparing specifications",3,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
6,Network Engineer III,131.72,134.35,137.04,139.78,142.58,Bachelor's,"Performs system analysis, design, development, test and evaluation activities, ensures the integration of software, hardware, reliability, maintainability, safety, survivability, human and other requirements in the total engineering effort. Formulates operational concept, performs mission and functional analyses, conducts requirements and information analysis, cost-benefit analysis, system trade studies, and risk analysis. Selects system architecture, allocates requirements and prepares specifications.",10,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
7,Network Engineer II,109.9,112.1,114.34,116.63,118.96,Bachelor's,"Performs system analysis, design, development, test and evaluation activities, ensures the integration of software, hardware, reliability, maintainability, safety, survivability, human and other requirements in the total engineering effort. Formulates operational concept, performs mission and functional analyses, conducts requirements and information analysis, cost-benefit analysis, system trade studies, and risk analysis. Selects system architecture, allocates requirements and prepares specifications.",7,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
8,Network Engineer I,88.71,90.48,92.29,94.14,96.02,Bachelor's,"Performs system analysis, design, development, test and evaluation activities, ensures the integration of software, hardware, reliability, maintainability, safety, survivability, human and other requirements in the total engineering effort. Formulates operational concept, performs mission and functional analyses, conducts requirements and information analysis, cost-benefit analysis, system trade studies, and risk analysis. Selects system architecture, allocates requirements and prepares specifications.",3,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
9,Program Manager,88.71,90.48,92.29,94.14,96.02,Bachelor's,"Manages several related projects, with the focus of improving an organization's performance. Manages a range of practices to include but not limited to systems engineering, industrial engineering, change management, and business transformation.",10,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
10,Developer,138.0,140.76,143.57,146.45,149.37,Bachelor's,"Responsible for all facets of the software development process, including the research, design, programming, and testing of computer software. Other job titles include carrying out the roles and/or management of programmers, software analysts, and software engineers.",3,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
11,Administrative Assistant,67.6,68.95,70.33,71.74,73.17,HS,"Assists and provides executive support by coordinating such office services and procedures as the supervision, maintenance, and control of the flow of work and programs, personnel, budgeting, records, etc., for the entire organization or department.",1,21st Century Solutions,"Small business, SBA Certified HUBZone Firm"
