,Role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,Education,Functional Responsibility,Years of Experience,Company,socio_economic
0,Administrative Assistant Level I,60.7,61.91,63.15,64.42,,,,,"Administrative Assistant (Series AA) Level I (AA01) Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,BOOZ ALLEN HAMILTON,
1,Administrative Assistant Level I,49.32,50.83,52.39,54.04,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,ACCENTURE,
2,Administrative Assistant Level I,34.01,34.68,35.37,36.09,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,CACI INTERNATIONAL INC,
3,Administrative Assistant Level I,38.8,39.97,41.16,42.4,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,CACI INTERNATIONAL INC,
4,Administrative Assistant Level I,46.97,48.38,49.84,51.34,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,COMPUTER SCIENCES CORPORATION (CSC),
5,Administrative Assistant Level I,38.63,39.67,40.74,41.84,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,GENERAL DYNAMICS CORPORATION,
6,Administrative Assistant Level I,40.21,41.21,42.24,43.3,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,HARRIS CORPORATION,
7,Administrative Assistant Level I,31.01,31.97,32.97,33.78,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,HEWLETT-PACKARD COMPANY (HP),
8,Administrative Assistant Level I,37.15,38.12,39.11,40.13,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,XEROX CORPORATION,
9,Administrative Assistant Level I,42.24,43.72,45.25,46.84,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,MANTECH INTERNATIONAL CORP,
10,Administrative Assistant Level I,40.24,40.89,41.54,42.2,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,DELOITTE LLP,
11,Administrative Assistant Level I,47.73,49.16,50.63,52.15,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,DELL INC,
12,Administrative Assistant Level I,39.17,40.29,41.44,42.62,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,"WYLE LABORATORIES, INC.",
13,Administrative Assistant Level I,38.45,39.79,41.19,42.64,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,RAYTHEON COMPANY,
14,Administrative Assistant Level I,33.21,34.2,35.23,36.29,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,"SOTERA DEFENSE SOLUTIONS, INC.",
