Administrative Support Specialist 1, 50.79, 51.80, 52.84, 53.90, 54.98
Administrative Support Specialist 2, 67.92, 69.28, 70.66, 72.29, 73.73
Advanced Technology Manager, 217.65, 222.01, 226.45, 231.65, 236.29
Associate Systems Developer, 117.90, 120.26, 122.67, 125.49, 128.00
Business and Economic Analyst 1, 93.89, 95.77, 97.69, 99.93, 101.93
Business and Economic Analyst 2, 136.30, 139.03, 141.81, 145.07, 147.97
Business and Economic Analyst 3, 175.57, 179.08, 182.66, 186.86, 190.60
Business Process Engineer 1, 169.30, 172.69, 176.14, 180.19, 183.80
Business Process Engineer 2, 194.72, 198.62, 202.59, 207.25, 211.40
Business Systems Architect, 220.12, 224.52, 229.01, 234.28, 238.96
Communications & Network Engineer 1, 93.89, 95.77, 97.69, 99.93, 101.93
Communications & Network Engineer 2, 114.91, 117.21, 119.55, 122.30, 124.75
Communications & Network Engineer 3, 157.08, 160.22, 163.43, 167.19, 170.53
Computer Engineer 1, 116.55, 118.88, 121.26, 124.05, 126.53
Computer Engineer 2, 162.73, 165.99, 169.31, 173.20, 176.66
Computer Engineer 3, 218.42, 222.79, 227.24, 232.47, 237.12
Courseware Author, 129.70, 132.30, 134.94, 138.04, 140.81
Courseware Instructor, 217.65, 222.01, 226.45, 231.65, 236.29
Data Analyst 1, 169.30, 172.69, 176.14, 180.19, 183.80
Data Analyst 2, 194.72, 198.62, 202.59, 207.25, 211.40
Data Architect, 199.09, 203.07, 207.13, 211.90, 216.13
Database Administrator 1, 114.91, 117.21, 119.55, 122.30, 124.75
Database Administrator 2, 131.71, 134.34, 137.03, 140.18, 142.99
Database Administrator 3, 162.88, 166.14, 169.46, 173.36, 176.83
Database Management Engineer 1, 122.03, 124.47, 126.96, 129.88, 132.48
Database Management Engineer 2, 158.99, 162.17, 165.42, 169.22, 172.61
Database Management Engineer 3, 178.02, 181.58, 185.21, 189.47, 193.26
E-Commerce Specialist 1, 220.12, 224.52, 229.01, 234.28, 238.96
E-Commerce Specialist 2, 245.52, 250.43, 255.44, 261.31, 266.54
Enterprise Architect, 217.12, 221.47, 225.89, 231.09, 235.71
Graphics Designer 1, 90.47, 92.28, 94.12, 96.29, 98.21
Information Engineer 1, 118.51, 120.88, 123.29, 126.13, 128.65
Information Engineer 2, 152.38, 155.43, 158.54, 162.18, 165.43
Information Engineer 3, 177.78, 181.34, 184.96, 189.22, 193.00
Information Engineer 4, 203.20, 207.26, 211.40, 216.27, 220.59
Information Engineer 5, 228.58, 233.15, 237.81, 243.28, 248.15
Information Security Specialist 1, 167.50, 170.85, 174.26, 178.27, 181.84
Information Security Specialist 2, 176.94, 180.48, 184.09, 188.32, 192.09
Principal Systems Developer, 172.32, 175.76, 179.28, 183.40, 187.07
Program Manager 1, 157.20, 160.34, 163.55, 167.31, 170.66
Program Manager 2, 203.76, 207.83, 211.99, 216.86, 221.20
Program Manager 3, 217.65, 222.01, 226.45, 231.65, 236.29
Project Manager 1, 104.99, 107.09, 109.23, 111.74, 113.98
Project Manager 2, 138.24, 141.00, 143.82, 147.13, 150.07
Project Manager 3, 185.84, 189.56, 193.35, 197.80, 201.75
Project Manager 4, 188.24, 192.01, 195.85, 200.35, 204.36
Project Manager 5, 190.45, 194.25, 198.14, 202.70, 206.75
QA/CM/Test & Evaluation Specialist 1, 105.06, 107.16, 109.30, 111.81, 114.05
QA/CM/Test & Evaluation Specialist 2, 129.53, 132.12, 134.76, 137.86, 140.62
QA/CM/Test & Evaluation Specialist 3, 150.53, 153.54, 156.61, 160.22, 163.42
Security Analyst 1, 203.20, 207.26, 211.40, 216.27, 220.59
Security Analyst 2, 220.12, 224.52, 229.01, 234.28, 238.96
Security Analyst 3, 253.98, 259.06, 264.24, 270.32, 275.72
Security Architect 1, 296.31, 302.24, 308.28, 315.37, 321.68
Senior Systems Developer, 154.16, 157.25, 160.39, 164.08, 167.36
Software Engineer 1, 126.98, 129.52, 132.11, 135.15, 137.85
Software Engineer 2, 147.31, 150.26, 153.26, 156.79, 159.93
Software Engineer 3, 165.14, 168.44, 171.81, 175.76, 179.28
Software Engineer 4, 189.64, 193.43, 197.30, 201.83, 205.87
Strategic Planning Analyst 1, 125.63, 128.14, 130.70, 133.71, 136.38
Strategic Planning Analyst 2, 163.65, 166.92, 170.26, 174.18, 177.66
Strategic Planning Analyst 3, 197.43, 201.37, 205.40, 210.13, 214.33
Systems & Help Desk Administrator 1, 83.51, 85.18, 86.88, 88.88, 90.66
Systems & Help Desk Administrator 2, 107.15, 109.29, 111.48, 114.04, 116.33
Systems & Help Desk Administrator 3, 125.70, 128.22, 130.78, 133.79, 136.47
Systems Developer, 144.65, 147.55, 150.50, 153.96, 157.04
Systems Engineer 1, 106.67, 108.80, 110.97, 113.53, 115.80
Systems Engineer 2, 134.79, 137.49, 140.24, 143.46, 146.33
Systems Engineer 3, 165.94, 169.26, 172.64, 176.62, 180.15
Systems Engineer 4, 181.12, 184.74, 188.44, 192.77, 196.63
Technical Writer 1, 93.13, 94.99, 96.89, 99.12, 101.10
Technical Writer 2, 121.92, 124.36, 126.85, 129.76, 132.36
Technical Writer 3, 143.90, 146.78, 149.71, 153.16, 156.22
Training Specialist 1, 93.13, 94.99, 96.89, 99.12, 101.10
Training Specialist 2, 111.60, 113.84, 116.11, 118.78, 121.16
Training Specialist 3, 132.49, 135.14, 137.84, 141.01, 143.83
Training Specialist 4, 152.38, 155.43, 158.54, 162.18, 165.43
Web Architect, 321.70, 328.14, 334.70, 342.40, 349.25
Web Developer 1, 167.60, 170.96, 174.38, 178.39, 181.95
Web Developer 2, 189.64, 193.43, 197.30, 201.83, 205.87
Web Developer 3, 206.57, 210.70, 214.91, 219.85, 224.25 
