,Role,08/23/2018 - 08/22/2019,08/23/2019 - 08/22/2020,08/23/2020 - 08/22/2021,08/23/2021 - 08/22/2022,08/23/2022 - 08/22/2023,Education,Functional Responsibility,Years of Experience,Company,socio_economic
0,Administrative Support Specialist 1,50.79,51.8,52.84,53.9,54.98,HS,"Provides administrative-type support to technical and management-level personnel. This includes, but is not limited to, documentation planning and support, project administration, general office support, executive secretarial support, human resource planning, event planning and administration, office relocation planning, etc. Duties may include, but are not limited to, coordinating and planning office administration and support; understanding and providing documentation planning and support, project administration, general office support, executive secretarial support, human resource planning, event planning and administration, office relocation planning, etc. required in changing office environments; and reporting directly to a client, usually at the client location, to support its operations as required.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
1,Administrative Support Specialist 2,67.92,69.28,70.66,72.29,73.73,HS,"Provides administrative-type support to technical and management-level personnel. This includes, but is not limited to, documentation planning and support, project administration, general office support, executive secretarial support, human resource planning, event planning and administration, office relocation planning, etc. Duties may include, but are not limited to, coordinating and planning office administration and support; understanding and providing documentation planning and support, project administration, general office support, executive secretarial support, human resource planning, event planning and administration, office relocation planning, etc. required in changing office environments; and reporting directly to a client, usually at the client location, to support its operations as required.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
2,Advanced Technology Manager,217.65,222.01,226.45,231.65,236.29,Master's,"An Advanced Technology Manager is a thought leader in a significant technology or methodology. An Advanced Technology Manager conducts research and development, and reports findings in white papers, technical articles, and oral presentations. An Advanced Technology Manager participates in advisory boards and committees, industry standards and practices groups, and represents Citizant in professional associations such as ACM or IEEE. An Advanced Technology Manager also develops and presents training courses. In addition, an Advanced Technology Manager develops and manages professional development programs and advises consultants regarding career, education, and training plans.",10,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
3,Associate Systems Developer,117.9,120.26,122.67,125.49,128.0,Bachelor's,"Associate Systems Developer duties include providing project consulting or development support on all phases of software engineering methodologies and the implementation of software engineering. An Associate Systems Developer provides design, and development support to the project. In addition, an Associate Systems Developer performs moderately complex analysis, design, development, testing and implementation of software in support of a range of functional and technical environments.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
4,Business and Economic Analyst 1,93.89,95.77,97.69,99.93,101.93,Bachelor's,"Assists in Functional Economic Analysis (FEA) to evaluate the costs of alternative ways to accomplish functional objectives. The FEA states investment costs, benefits, and risks as a net change to the functional baseline cost, the cost of doing business now and in the future. Ensures that cross-functional, security, and other integration issues are addressed.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
5,Business and Economic Analyst 2,136.3,139.03,141.81,145.07,147.97,Bachelor's,"Performs Functional Economic Analysis (FEA) to evaluate the costs of alternative ways to accomplish functional objectives. The FEA states investment costs, benefits, and risks as a net change to the functional baseline cost, the cost of doing business now and in the future. Ensures that cross-functional, security, and other integration issues are addressed. Significant knowledge and experience in FEA and the ability to work independently on typical assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
6,Business and Economic Analyst 3,175.57,179.08,182.66,186.86,190.6,Bachelor's,"Performs Functional Economic Analysis (FEA) to evaluate the costs of alternative ways to accomplish functional objectives. The FEA states investment costs, benefits, and risks as a net change to the functional baseline cost, the cost of doing business now and in the future. Ensures that cross-functional, security, and other integration issues are addressed. Significant knowledge and experience in FEA and the ability to direct a team on typical assignments.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
7,Business Process Engineer 1,169.3,172.69,176.14,180.19,183.8,Bachelor's,"Applies business process improvement practices to reengineer methodologies/principles and business process modernization projects. Applies, as appropriate, activity and data modeling, transaction flow analysis, internal control and risk analysis, and modern business methods and performance measurement techniques. Assists in establishing standards for information systems procedures. Develops and applies organization wide information models for use in designing and building integrated, shared software and database management systems. Constructs sound, logical business improvement opportunities consistent with corporate information management guiding principles, cost savings and open system architecture objectives.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
8,Business Process Engineer 2,194.72,198.62,202.59,207.25,211.4,Bachelor's,"Applies business process improvement practices to reengineer methodologies/principles and business process modernization projects. Applies, as appropriate, activity and data modeling, transaction flow analysis, internal control and risk analysis, and modern business methods and performance measurement techniques. Assists in establishing standards for information systems procedures. Develops and applies organization wide information models for use in designing and building integrated, shared software and database management systems. Constructs sound, logical business improvement opportunities consistent with corporate information management guiding principles, cost savings and open system architecture objectives. Provides daily supervision and direction to staff.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
9,Business Systems Architect,220.12,224.52,229.01,234.28,238.96,Bachelor's,"Provides expertise in the areas of system architecture, system design and systems management processes. Analyzes and recommends commercially available hardware capable of meeting systems requirements. The system architect maintains a deep understanding of architecture, techniques and management processes across a broad spectrum of systems, applications and requirements.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
10,Communications & Network Engineer 1,93.89,95.77,97.69,99.93,101.93,Bachelor's,"Has knowledge in one or more aspects of data and telecommunications network architectures for Government applications. May possess broad knowledge in network integration, network interoperability, network implementation, telecommunications technologies, or network protocols. Capable of working, with supervision, on specific tasks associated with specific aspects of network architecture projects. Communication & Network Engineer duties include providing assistance and performs general technical tasks for network architecture planning; providing support for one or more specific areas associated with network- architecture technology, interoperability, or integration; supporting the development of technical analyses, white papers, or research for specific technical areas of network architecture; and assisting in general analysis on network interoperability topologies, technologies, interfaces, and protocols.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
11,Communications & Network Engineer 2,114.91,117.21,119.55,122.3,124.75,Bachelor's,"Has knowledge in one or more aspects of data and telecommunications network architectures for Government applications. May possess broad knowledge in network integration, network interoperability, network implementation, telecommunications technologies, or network protocols. Capable of independent work on specific tasks associated with the implementation of specific aspects of network architecture projects and is capable of providing limited guidance or supervision of Engineers working on highly complex network architecture projects. Communication & Network Engineer duties include, but are not limited to, providing general support for network architecture planning; providing technical support in one or more specific areas associated with network-architecture technology, interoperability, or integration; providing support for the development of technical analyses, white papers, or research for specific technical areas of network architecture; and providing general analyses on network interoperability topologies, technologies, interfaces, and protocols.",2,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
12,Communications & Network Engineer 3,157.08,160.22,163.43,167.19,170.53,Master's,"Has in-depth knowledge of multiple aspects of data and telecommunications network architectures for Government applications. May possess subject matter expertise in network integration, network interoperability, network implementation, telecommunications technologies, or network protocols. Has the ability to use experience and technical judgment to reach conclusions in the face of limited and/or uncertain data. Supervises or manages the implementation of specific aspects of network architecture planning and is capable of supervising a team of specialty Engineers working on highly complex network architecture projects. Communication & Network Engineer duties include, but are not limited to, providing lead specialty engineering for a specific technology area associated with network architectures; providing technical support in one or more specific areas associated with network-architecture technology, interoperability, or integration; performing technical lead management responsibilities for specific technical areas of network architecture projects; and providing in-depth analyses on network interoperability, topologies, technologies, interfaces, and protocols.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
13,Computer Engineer 1,116.55,118.88,121.26,124.05,126.53,Bachelor's,"Performs a variety of engineering tasks concerned with the design and implementation, including personnel, hardware, software and support facilities and/or equipment. Supports analysis projects by utilizing existing modeling and simulation tools. Support data collection, study definition, model execution, data extraction and performance measurement activities.",3,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
14,Computer Engineer 2,162.73,165.99,169.31,173.2,176.66,Mater's,"Applies a strong analysis background, strong technical initiative, experience in operational and technical analysis of systems, along with strong experience in modeling and simulation background. Performs a variety of engineering tasks concerned with the design and implementation, including personnel, hardware, software and support facilities and/or equipment. Supports analysis projects by utilizing existing modeling and simulation tools. Support data collection, study definition, model execution, data extraction and performance measurement activities.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
15,Computer Engineer 3,218.42,222.79,227.24,232.47,237.12,Mater's,"Applies a strong analysis background, strong technical initiative, experience in operational and technical analysis of systems, along with strong experience in modeling and simulation background. Performs a variety of engineering tasks concerned with the design and implementation, including personnel, hardware, software and support facilities and/or equipment. Supports analysis projects by utilizing existing modeling and simulation tools and developing tools as needed. Support data collection, study definition, model execution, data extraction and performance measurement activities. Excellent people and organization skills are required. Ability to work in a rapid paced environment is important.",7,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
16,Courseware Author,129.7,132.3,134.94,138.04,140.81,Bachelor's,"A Courseware Author is responsible for the assembly, writing, and review of technical courseware material. Courseware Authors create slides using PowerPoint (by Microsoft) or some other presentation software. In addition Courseware Authors provide the necessary supporting documentation that addresses any points in a presentation. Courseware Authors also design exercises and exercise answer keys for Courseware Instructors to use.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
17,Courseware Instructor,217.65,222.01,226.45,231.65,236.29,Bachelor's,"A Courseware Instructor is responsible for all aspects of delivering technical training to a classroom of students. Courseware Instructors plan lectures, choose topics of discussion, organize exercises and grade students on their comprehension and proficiency. Courseware Instructors are also responsible for all logistics with the delivery of a class/lecture including the establishment of the technical environment, delivery of hardcopy materials, quality of the classroom environment, etc.",7,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
18,Data Analyst 1,169.3,172.69,176.14,180.19,183.8,Bachelor's,"Reviews, evaluates, designs, implements and maintains data systems. Identifies data sources, constructs data decomposition diagrams, provides data flow diagrams and documents the process. Possession of excellent oral and written communication skills. Has knowledge of commonly used concepts, practices, and procedures within a particular field. Relies on instructions and pre-established guidelines to perform the functions of the job. Works under immediate supervision. Primary job functions do not typically require exercising independent judgment. Typically reports to a project leader or manager.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
19,Data Analyst 2,194.72,198.62,202.59,207.25,211.4,Bachelor's,"Reviews, evaluates, designs, implements and maintains data systems. Identifies data sources, constructs data decomposition diagrams, provides data flow diagrams and documents the process. Possession of excellent oral and written communication skills. Familiar with a variety of the field's concepts, practices, and procedures. Relies on experience and judgment to plan and accomplish goals. Performs a variety of complicated tasks. May lead and direct the work of others. Typically reports to a project leader or manager. A wide degree of creativity and latitude is expected.",3,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
20,Data Architect,199.09,203.07,207.13,211.9,216.13,Bachelor's,"Interacts with all levels of users, technical staff and program management. Applies database design, analysis, and implementation; database interface designing, coding, troubleshooting, and implementation; and design and implementation of system-wide database strategy. Formulates and defines the top-level architecture of the data, including the standards & formats, and will apply analytical skills to support data architecture development, studies, and analysis projects. Relies on extensive experience and judgment to plan and accomplish goals. Performs a variety of tasks. May provide consultation on complex projects and is considered to be the top-level contributor/specialist. A wide degree of creativity and latitude is expected. Provides daily supervision and direction to staff.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
21,Database Administrator 1,114.91,117.21,119.55,122.3,124.75,Bachelor's,"Applies techniques for backup/recovery, software upgrades, data replication, data mirroring, and production application release support.",2,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
22,Database Administrator 2,131.71,134.34,137.03,140.18,142.99,Bachelor's,"Applies techniques for backup/recovery procedures for the processing environments and ensures that data integrity, security, and recoverability are built into the DBMS applications. Performs software upgrades, data replication, data mirroring, and production application release support. Performs evaluations and makes recommendations on available DBMS products to support validated user requirements. Defines file organization, indexing methods, and security procedures for specific user applications.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
