,Role,11/21/18 - 11/20/19,11/21/19 - 11/20/20,11/21/20 - 11/20/21,11/21/21 - 11/20/22,11/21/22 - 11/20/23,11/21/23 - 11/20/24,Education,Functional Responsibility,Years of Experience,Company
0,Technical Expert 5,102.75,104.94,107.19,109.48,111.83,114.22, Bachelor's,"Provide expert, independent services and leadership in specialized technical areas. Provides expertise on an as-needed basis to all task assignments. Provides expert advice and assistance in state-of-the-art software/hardware. Coordinates with contractor management and Government personnel to ensure that the problem has been properly defined and that the solution will satisfy the Government’s requirement.",6,General Dynamics Information Technology
1,Technical Expert 4,116.6,119.09,121.64,124.24,126.9,129.62, Bachelor's,"Provide expert, independent services and leadership in specialized technical areas. Provides expertise on an as-needed basis to all task assignments. Provides expert advice and assistance in state-of-the-art software/hardware. Coordinates with contractor management and Government personnel to ensure that the problem has been properly defined and that the solution will satisfy the Government’s requirement.",8,General Dynamics Information Technology
2,Technical Expert 3,168.37,171.97,175.65,179.41,183.25,187.17, Master's,"Provide expert, independent services and leadership in specialized technical areas. Provides expertise on an as-needed basis to all task assignments. Provides expert advice and assistance in state-of-the-art software/hardware. Coordinates with contractor management and Government personnel to ensure that the problem has been properly defined and that the solution will satisfy the Government’s requirement.",10,General Dynamics Information Technology
3,Technical Expert 2,206.61,211.03,215.54,220.16,224.87,229.68, Master's,"Provide expert, independent services and leadership in specialized technical areas. Provides expertise on an as-needed basis to all task assignments. Provides expert advice and assistance in state-of-the-art software/hardware. Coordinates with contractor management and Government personnel to ensure that the problem has been properly defined and that the solution will satisfy the Government’s requirement.",12,General Dynamics Information Technology
4,Technical Expert 1,304.54,311.06,317.72,324.52,331.46,338.56, PhD,"Provide expert, independent services and leadership in specialized technical areas. Provides expertise on an as-needed basis to all task assignments. Provides expert advice and assistance in state-of-the-art software/hardware. Coordinates with contractor management and Government personnel to ensure that the problem has been properly defined and that the solution will satisfy the Government’s requirement.",15,General Dynamics Information Technology
5,Project Manager/Task Lead,124.61,127.28,130.0,132.79,135.63,138.53, Bachelor's,"Monitors each task, and keeps the Program Manager abreast of all problems and accomplishments. Anticipates problems, and works to mitigate the anticipated problems. As a team or project leader, provides technical direction for the complete systems development effort. May serve as a technical authority for a design area. As a staff specialist or consultant, resolves unique and unyielding systems problems using new technology. Can complete tasks within estimated time frames and budget constraints. Schedules and assigns duties to subordinates. Interacts with government management personnel. Reports in writing and orally to contractor management and government representatives, including the government contracting officer.",7,General Dynamics Information Technology
6,Program Manager,136.72,139.64,142.63,145.68,148.8,151.98, Bachelor's,"Serves as the contractor’s contract manager, and shall be the contractor’s authorized interface with the Government Contracting Officer (CO), the Contracting Officer’s Representative (COR), government management personnel and customer agency representatives. Responsible for formulating and enforcing work standards, assigning contractor schedules, reviewing work discrepancies, supervising contractor personnel and communicating policies, purposes, and goals of the organization to subordinates. Shall be responsible for the overall contract performance. Ability to manage and ensure the successful completion multiple technical tasks in assigned program(s).",10,General Dynamics Information Technology
7,Sr. Program Manager,167.36,170.94,174.6,178.34,182.15,186.05, Bachelor's,"Responsible for managing very complex and/or high risk programs. Directs daily staff and task activities to meet client and corporate work objectives. Supervises assigned technical and administrative staff, including subordinate managers. Assures quality of task products, services, and deliverables, including participating in reviews, audits, and site visits. Serves as a liaison with clients to coordinate activities, negotiate tasks, and solve problems. Responsible for coordinating and monitoring subcontractor activities.",12,General Dynamics Information Technology
8,Proprietary Product Application Developer,120.25,122.82,125.45,128.13,130.88,133.68, HS,Participates in the development of modernized software applications using high technology and/or emerging technology proprietary software.,0,General Dynamics Information Technology
9,Proprietary Product Application Designer,120.25,122.82,125.45,128.13,130.88,133.68, HS,Performs high-level analysis and design tasks associated with the overall design of application systems using one or more high technology or emerging technology proprietary product tools. Directs emerging technology software development programs to include system and subsystem design and implementation. Works directly with the customer to define requirements.,0,General Dynamics Information Technology
10,Proprietary Product Database Administrator,115.85,118.33,120.86,123.45,126.09,128.79, HS,"Creates and manages the database. Performs exceptionally complex database administration functions which include, but is not limited to, managing/maintaining distributed relational databases residing in a central system. Provides 24 x 7 support for production issues.",0,General Dynamics Information Technology
11,Proprietary Product System Architect,117.42,119.93,122.5,125.12,127.8,130.53, HS,Participates in all phases of system design and development of complex applications generally in a client/server environment using a variety of proprietary product or emerging technology tools in a variety of operating environments. Works closely with the customer to validate system design and architecture.,0,General Dynamics Information Technology
12,Business Process Reengineering Analyst,99.37,101.49,103.67,105.88,108.15,110.46, HS,"Applies business process improvement practices to reengineer methodologies/principles and business process modernization projects. Applies, as appropriate, activity and data modeling, transaction flow analysis, internal control and risk analysis and modern business methods and performance measurement techniques.",0,General Dynamics Information Technology
