,Role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,Education,Functional Responsibility,Years of Experience,Company,socio_economic
0,Senior Program Manager,442.04,454.86,468.05,481.62,,,,Bachelor's,The Senior Program Manager has overall accountability for business solution programs. Senior Program Managers may be responsible for product delivery and/or financial management of client engagements. A Senior Program Manager performs independent quality assurance reviews of program performance and deliverables. They lend thought leadership to engagement teams in developing creative solutions to client business problems.,15,Accenture Federal Services,Other than small business
1,Program Manager,389.42,400.71,412.33,424.29,,,,Bachelor's,"Program Managers plan and manage projects to control overall project scope, budgets and schedules for multi-project engagements. Program Managers maintain contractor interface with the senior levels of the customer’s organization, and consult with customer and contractor personnel to formulate and review task plans and deliverables, and provide conformance with program and project task schedules and costs and contractual obligations.",12,Accenture Federal Services,Other than small business
2,Project Manager,252.85,260.18,267.73,275.49,,,,Bachelor's,"The Project Manager manages, plans and coordinates activities of projects. This individual reviews project proposals or plans to determine schedule, funding limitations, procedures for accomplishing projects, staffing requirements and allotment of available resources to various phases of projects. The Project Manager establishes work plans and coordinates staffing for each phase of project and arranges for recruitment or assignment of project personnel. The Project Manager identifies functional or crossfunctional requirements and resources required for each task.",10,Accenture Federal Services,Other than small business
3,Task Manager,190.81,196.34,202.03,207.89,,,,Bachelor's,"Task Managers apply their broad management skills and specialized functional and technical expertise to guide project teams in delivering client solutions or to manage the day-to-day operations. The Task Manager monitors quality across multiple projects. This individual establishes and maintains technical and financial reports to show progress of projects to management and customers, organizes and assigns responsibilities to subordinates, and oversees the assigned tasks.",7,Accenture Federal Services,Other than small business
4,Subject Matter Expert 1,225.85,232.4,239.14,246.08,,,,Bachelor's,The Subject Matter Expert 1 has industry experience in the relevant subject matter. This individual will use information technology expertise and/or industry focus expertise in fulfilling the interpreted customer specification. The Subject Matter Expert 1 is highly experienced in the industry with regard to information technology. The Subject Matter Expert 1 provides thought leadership related to current and future customer plans with regard to the stated information technology.,10,Accenture Federal Services,Other than small business
5,Subject Matter Expert 2,259.81,267.34,275.09,283.07,,,,Bachelor's,The Subject Matter Expert 2 has industry experience in the relevant subject matter. This individual will use information technology expertise and/or industry focus expertise in fulfilling the interpreted customer specification. The Subject Matter Expert 2 is an highly experienced in the industry with regard to information technology. The Subject Matter Expert 2 provides thought leadership related to current and future customer plans with regard to the stated information technology.,12,Accenture Federal Services,Other than small business
6,Subject Matter Expert 3,308.22,317.16,326.36,335.82,,,,Bachelor's,The Subject Matter Expert 3 has industry experience in the relevant subject matter. This individual will use information technology expertise and/or industry focus expertise in fulfilling the interpreted customer specification. The Subject Matter Expert 3 is highly experienced in the industry with regard to the stated information technology. The Subject Matter Expert 3 provides thought leadership related to current and future customer plans with regard to the stated information technology.,15,Accenture Federal Services,Other than small business
7,Technical Architect 1,190.81,196.34,202.03,207.89,,,,Bachelor's,"The Technical Architect 1 provides thought leadership related to current and future customer plans with regard to the stated information technology. The Technical Architect 1 possesses knowledge of the future direction and trends associated with information technology. The Technical Architect 1s have experience in designing or implementing information architecture solutions for information technology. The Technical Architect 1 designs architecture to include the software, hardware, and communications to support the total requirements as well as provide for present and future cross-functional requirements and interfaces.",7,Accenture Federal Services,Other than small business
8,Technical Architect 2,252.85,260.18,267.73,275.49,,,,Bachelor's,"The Technical Architect 2 provides thought leadership related to current and future customer plans with regard to the stated information technology. The Technical Architect 2 possesses knowledge of the future direction and trends associated with information technology. The Technical Architect 2s have experience in designing and implementing information architecture solutions for \ information technology. The Technical Architect 2 designs architecture to include the software, hardware, and communications to support the total requirements as well as provide for present and future cross-functional requirements and interfaces.",10,Accenture Federal Services,Other than small business
9,System Administrator 1,112.67,115.94,119.3,122.76,,,,Bachelor's,"System Administrator 1s may develop, run tests on, implement, or maintain operating system and related software. The System Administrator 1s establish and implement standards for computer operations for compatibility between hardware and software, according to specifications and parameters. This individual troubleshoots and/or resolves software, operating system, and networking problems. The System Administrator 1 schedules, performs, or monitors system backups or, when necessary, performs data recoveries. The Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business
10,System Administrator 2,164.32,169.09,173.99,179.04,,,,Bachelor's,"System Administrator 2s may develop, run tests on, implement, or maintain operating system and related software. The System Administrator 2s establish and implement standards for computer operations for compatibility between hardware and software, according to specifications and parameters. This individual troubleshoots and/or resolves software, operating system, and networking problems. The System Administrator 2 schedules, performs, or monitors system backups and, when necessary, performs data recoveries. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",3,Accenture Federal Services,Other than small business
11,System Administrator 3,190.81,196.34,202.03,207.89,,,,Bachelor's,"System Administrator 3s may develop, run tests on, implement, or maintain operating system and related software. The System Administrator 3s establish and implement standards for computer operations for compatibility between hardware and software, according to specifications and parameters. This individual troubleshoots and/or resolves software, operating system, and networking problems. The System Administrator 3 schedules, performs, and/or monitors system backups and/or, when necessary, performs data recoveries. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",7,Accenture Federal Services,Other than small business
12,Database Administrator 1,112.67,115.94,119.3,122.76,,,,Bachelor's,"Database Administrator 1 administers organization's databases, using database management system to organize and store data. The Database Administrator 1 ascertains user requirements, creates computer databases, and tests and coordinates changes. This individual interacts with development and end-user personnel to determine application data access requirements, transaction rates, volume analysis, and other pertinent data required to develop and maintain integrated databases. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business
13,Database Administrator 2,141.31,145.41,149.63,153.97,,,,Bachelor's,"Database Administrator 2 administers organization's databases, using database management system to organize and store data. The Database Administrator 2 ascertains user requirements, creates computer databases, and tests and coordinates changes. This individual interacts with development and end-user personnel to determine application data access requirements, transaction rates, volume analysis, and other pertinent data required to develop and maintain integrated databases. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",3,Accenture Federal Services,Other than small business
14,Database Administrator 3,167.58,172.44,177.44,182.59,,,,Bachelor's,"Database Administrator 3 administers organization's databases, using database management system to organize and store data. The Database Administrator 3 ascertains user requirements, creates computer databases, and tests and coordinates changes. This individual interacts with development and end-user personnel to determine application data access requirements, transaction rates, volume analysis, and other pertinent data required to develop and maintain integrated databases. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",7,Accenture Federal Services,Other than small business
15,Functional Specialist 1,121.7,125.23,128.86,132.6,,,,Bachelor's,"The Functional Specialist 1s provide knowledge in industry, process or technology areas. The Functional Specialist 1 responsibilities may include, Plan and manage the work of information systems project teams, Design and implement new organization structures, conceptual design and development of training curricula, Assist an organization to translate its vision and strategy into core human resource and business process, Lead clients through streamlining, reengineering and transforming business processes, Develop and execute project budgets Level 1 performs more routine aspects of the position and is supervised by higher levels.",3,Accenture Federal Services,Other than small business
16,Functional Specialist 2,164.32,169.09,173.99,179.04,,,,Bachelor's,"The Functional Specialist 2s provide knowledge in industry, process or technology areas. The Functional Specialist 1 responsibilities may include, Plan and manage the work of information systems project teams, Design and implement new organization structures, conceptual design and development of training curricula, Assist an organization to translate its vision and strategy into core human resource and business process, Lead clients through streamlining, reengineering and transforming business processes, Develop and execute project budgets. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",5,Accenture Federal Services,Other than small business
17,Functional Specialist 3,199.42,205.2,211.15,217.27,,,,Bachelor's,"The Functional Specialist 3s provide knowledge in industry, process or technology areas. The Functional Specialist 1 responsibilities may include, Plan and manage the work of information systems project teams;, Design and implement new organization structures, conceptual design and development of training curricula, Assist an organization to translate its vision and strategy into core human resource and business process, Lead clients through streamlining, reengineering and transforming business processes, Develop and execute project budgets. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",8,Accenture Federal Services,Other than small business
