,role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,education,responsibility,yoe_x,company,socio_economic,2018_2019_mean,2019_2020_mean,2020_2021_mean,2021_2022_mean,2022_2023_mean,2023_2024_mean,2024_2025_mean,yoe_y,2018_2019_max,2019_2020_max,2020_2021_max,2021_2022_max,2022_2023_max,2023_2024_max,2024_2025_max,yoe_x,2018_2019_min,2019_2020_min,2020_2021_min,2021_2022_min,2022_2023_min,2023_2024_min,2024_2025_min,yoe_y,1819_1920_change,1920_2021_change,2021_2122_change,2122_2223_change,2223_2324_change,2324_2425_change
0,Senior Program Manager,442.04,454.86,468.05,481.62,,,,Bachelor's,The Senior Program Manager has overall accountability for business solution programs. Senior Program Managers may be responsible for product delivery and/or financial management of client engagements. A Senior Program Manager performs independent quality assurance reviews of program performance and deliverables. They lend thought leadership to engagement teams in developing creative solutions to client business problems.,15,Accenture Federal Services,Other than small business,442.04,454.86,468.05,481.62,,,,15.0,442.04,454.86,468.05,481.62,,,,15,442.04,454.86,468.05,481.62,,,,15,0.029001900280517582,0.02899793343006639,0.02899262899262898,,,
1,Program Manager,389.42,400.71,412.33,424.29,,,,Bachelor's,"Program Managers plan and manage projects to control overall project scope, budgets and schedules for multi-project engagements. Program Managers maintain contractor interface with the senior levels of the customer’s organization, and consult with customer and contractor personnel to formulate and review task plans and deliverables, and provide conformance with program and project task schedules and costs and contractual obligations.",12,Accenture Federal Services,Other than small business,184.352,169.36666666666667,172.72333333333336,176.165,108.6225,113.395,,10.166666666666666,389.42,400.71,412.33,424.29,148.8,151.98,,15,88.71,74.81,74.81,74.81,74.81,74.81,,4,0.028991834009552575,0.028998527613486074,0.02900589333786054,,,
2,Project Manager,252.85,260.18,267.73,275.49,,,,Bachelor's,"The Project Manager manages, plans and coordinates activities of projects. This individual reviews project proposals or plans to determine schedule, funding limitations, procedures for accomplishing projects, staffing requirements and allotment of available resources to various phases of projects. The Project Manager establishes work plans and coordinates staffing for each phase of project and arranges for recruitment or assignment of project personnel. The Project Manager identifies functional or crossfunctional requirements and resources required for each task.",10,Accenture Federal Services,Other than small business,166.8983333333333,155.9414285714286,155.00625,155.6585714285714,94.55,99.91499999999999,134.58,10.0,252.85,260.18,267.73,275.49,129.87,132.2,134.58,15,86.15,67.63,67.63,67.63,67.63,67.63,134.58,4,0.028989519477951406,0.029018371896379472,0.02898442460688003,,,
3,Task Manager,190.81,196.34,202.03,207.89,,,,Bachelor's,"Task Managers apply their broad management skills and specialized functional and technical expertise to guide project teams in delivering client solutions or to manage the day-to-day operations. The Task Manager monitors quality across multiple projects. This individual establishes and maintains technical and financial reports to show progress of projects to management and customers, organizes and assigns responsibilities to subordinates, and oversees the assigned tasks.",7,Accenture Federal Services,Other than small business,166.86,171.235,175.725,207.89,,,,5.5,190.81,196.34,202.03,207.89,,,,7,142.91,146.13,149.42,207.89,,,,4,0.02898170955400661,0.02898034022613832,0.029005593228728335,,,
4,Subject Matter Expert 1,225.85,232.4,239.14,246.08,,,,Bachelor's,The Subject Matter Expert 1 has industry experience in the relevant subject matter. This individual will use information technology expertise and/or industry focus expertise in fulfilling the interpreted customer specification. The Subject Matter Expert 1 is highly experienced in the industry with regard to information technology. The Subject Matter Expert 1 provides thought leadership related to current and future customer plans with regard to the stated information technology.,10,Accenture Federal Services,Other than small business,225.85,232.4,239.14,246.08,,,,10.0,225.85,232.4,239.14,246.08,,,,10,225.85,232.4,239.14,246.08,,,,10,0.029001549701129118,0.029001721170395785,0.02902065735552407,,,
5,Subject Matter Expert 2,259.81,267.34,275.09,283.07,,,,Bachelor's,The Subject Matter Expert 2 has industry experience in the relevant subject matter. This individual will use information technology expertise and/or industry focus expertise in fulfilling the interpreted customer specification. The Subject Matter Expert 2 is an highly experienced in the industry with regard to information technology. The Subject Matter Expert 2 provides thought leadership related to current and future customer plans with regard to the stated information technology.,12,Accenture Federal Services,Other than small business,259.81,267.34,275.09,283.07,,,,12.0,259.81,267.34,275.09,283.07,,,,12,259.81,267.34,275.09,283.07,,,,12,0.028982718140179258,0.028989302012418644,0.029008688065724014,,,
6,Subject Matter Expert 3,308.22,317.16,326.36,335.82,,,,Bachelor's,The Subject Matter Expert 3 has industry experience in the relevant subject matter. This individual will use information technology expertise and/or industry focus expertise in fulfilling the interpreted customer specification. The Subject Matter Expert 3 is highly experienced in the industry with regard to the stated information technology. The Subject Matter Expert 3 provides thought leadership related to current and future customer plans with regard to the stated information technology.,15,Accenture Federal Services,Other than small business,308.22,317.16,326.36,335.82,,,,15.0,308.22,317.16,326.36,335.82,,,,15,308.22,317.16,326.36,335.82,,,,15,0.029005255985984028,0.029007441039223068,0.02898639539159204,,,
7,Technical Architect 1,190.81,196.34,202.03,207.89,,,,Bachelor's,"The Technical Architect 1 provides thought leadership related to current and future customer plans with regard to the stated information technology. The Technical Architect 1 possesses knowledge of the future direction and trends associated with information technology. The Technical Architect 1s have experience in designing or implementing information architecture solutions for information technology. The Technical Architect 1 designs architecture to include the software, hardware, and communications to support the total requirements as well as provide for present and future cross-functional requirements and interfaces.",7,Accenture Federal Services,Other than small business,190.81,196.34,202.03,207.89,,,,7.0,190.81,196.34,202.03,207.89,,,,7,190.81,196.34,202.03,207.89,,,,7,0.02898170955400661,0.02898034022613832,0.029005593228728335,,,
8,Technical Architect 2,252.85,260.18,267.73,275.49,,,,Bachelor's,"The Technical Architect 2 provides thought leadership related to current and future customer plans with regard to the stated information technology. The Technical Architect 2 possesses knowledge of the future direction and trends associated with information technology. The Technical Architect 2s have experience in designing and implementing information architecture solutions for \ information technology. The Technical Architect 2 designs architecture to include the software, hardware, and communications to support the total requirements as well as provide for present and future cross-functional requirements and interfaces.",10,Accenture Federal Services,Other than small business,252.85,260.18,267.73,275.49,,,,10.0,252.85,260.18,267.73,275.49,,,,10,252.85,260.18,267.73,275.49,,,,10,0.028989519477951406,0.029018371896379472,0.02898442460688003,,,
9,System Administrator 1,112.67,115.94,119.3,122.76,,,,Bachelor's,"System Administrator 1s may develop, run tests on, implement, or maintain operating system and related software. The System Administrator 1s establish and implement standards for computer operations for compatibility between hardware and software, according to specifications and parameters. This individual troubleshoots and/or resolves software, operating system, and networking problems. The System Administrator 1 schedules, performs, or monitors system backups or, when necessary, performs data recoveries. The Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business,112.67,115.94,119.3,122.76,,,,0.0,112.67,115.94,119.3,122.76,,,,0,112.67,115.94,119.3,122.76,,,,0,0.029022809976036176,0.028980507158875277,0.029002514668901996,,,
10,System Administrator 2,164.32,169.09,173.99,179.04,,,,Bachelor's,"System Administrator 2s may develop, run tests on, implement, or maintain operating system and related software. The System Administrator 2s establish and implement standards for computer operations for compatibility between hardware and software, according to specifications and parameters. This individual troubleshoots and/or resolves software, operating system, and networking problems. The System Administrator 2 schedules, performs, or monitors system backups and, when necessary, performs data recoveries. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",3,Accenture Federal Services,Other than small business,164.32,169.09,173.99,179.04,,,,3.0,164.32,169.09,173.99,179.04,,,,3,164.32,169.09,173.99,179.04,,,,3,0.029028724440116907,0.02897865042285177,0.029024656589459064,,,
11,System Administrator 3,190.81,196.34,202.03,207.89,,,,Bachelor's,"System Administrator 3s may develop, run tests on, implement, or maintain operating system and related software. The System Administrator 3s establish and implement standards for computer operations for compatibility between hardware and software, according to specifications and parameters. This individual troubleshoots and/or resolves software, operating system, and networking problems. The System Administrator 3 schedules, performs, and/or monitors system backups and/or, when necessary, performs data recoveries. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",7,Accenture Federal Services,Other than small business,190.81,196.34,202.03,207.89,,,,7.0,190.81,196.34,202.03,207.89,,,,7,190.81,196.34,202.03,207.89,,,,7,0.02898170955400661,0.02898034022613832,0.029005593228728335,,,
12,Database Administrator 1,112.67,115.94,119.3,122.76,,,,Bachelor's,"Database Administrator 1 administers organization's databases, using database management system to organize and store data. The Database Administrator 1 ascertains user requirements, creates computer databases, and tests and coordinates changes. This individual interacts with development and end-user personnel to determine application data access requirements, transaction rates, volume analysis, and other pertinent data required to develop and maintain integrated databases. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business,113.78999999999999,116.57499999999999,119.425,122.53,124.75,,,1.0,114.91,117.21,119.55,122.76,124.75,,,2,112.67,115.94,119.3,122.3,124.75,,,0,0.029022809976036176,0.028980507158875277,0.029002514668901996,,,
