,Role,"As of June 26, 2015",Education,Functional Responsibility,Years of Experience,Company,socio_economic
0,Subject Matter Expert IV,242.59,PhD,"Provides executive-level technical, managerial, and administrative direction for problem definition, analysis, requirements development, and implementation for complex to extremely complex systems in the subject matter area. Makes recommendations and advises on organization-wide system improvements, optimization or maintenance efforts in the following specialties: information systems architecture, networking, telecommunications, automation, communications protocols, risk management/electronic analysis, software lifecycle management, software development methodologies, and modeling and simulation.",20+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
1,Subject Matter Expert III,216.84,Master's,"Defines the problems and analyzes and develops plans and requirements in the subject matter area for moderately complex to complex systems. Coordinates and manages the preparation of analysis, evaluations, and recommendations for proper implementation of programs and systems specifications in the following specialties: information systems architecture, networking, telecommunications, automation, communications protocols, risk management/electronic analysis, software lifecycle management, software development methodologies, and modeling and simulation.",15-19,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
2,Subject Matter Expert II,195.24,Bachelor's,"Develops requirements from a project's inception to its conclusion in the subject matter area for simple to moderately complex systems. Assists other senior consultants with analysis and evaluation, and with the preparation of recommendations for system improvements, optimization, development, and/or maintenance efforts in the following specialties: information systems architecture, networking, telecommunications, automation, communications protocols, risk management/electronic analysis, software lifecycle management, software development methodologies, and modeling and simulation.",8-14,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
3,Subject Matter Expert I,183.11,Bachelor's,"Serves as a junior-level subject matter technical expert in areas relating to management services, information technology services, and other subject areas. Provides guidance to the technical staff on technology innovations, knowledge/procedures/processes/policies reflecting detailed knowledge of functional areas included in contract.",2-7,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
4,Project Manager III,166.09,Bachelor's,"Responsible for large, complex task orders (or a group of task orders affecting the same common/standard/migration system) and shall work with the Government Contracting Officer's Representative (COR), the task order level COR(s), government management personnel and customer agency representatives. Responsible for the overall management of the specific task order(s) and ensuring that the technical solutions and schedules in the task order are implemented in a timely manner. Performs enterprise-wide horizontal integration planning and interfaces to other functional systems. Directs completion of tasks within estimated time frames and budget constraints. Schedules and assigns duties to subordinates and subcontractors and ensures assignments are completed as directed. Enforces work standards and reviews/resolves work discrepancies to ensure compliance with contract requirements. Reports in writing and orally to contractor management and Government representatives. Provides competent leadership and responsible program direction through successful performance of a variety of detailed, diverse elements of project transitioning. Plans and directs technological improvements and project management implementation. Manages a diverse group of functional activities, subordinate groups of technical and administrative personnel. Provides business, technical, and personnel management across multiple projects, such as engineering studies, computer applications, and systems development. ",12+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
5,Project Manager II,135.61,Bachelor's,"Serves as the contractor’s contract manager and shall be the contractor’s authorized interface with the Government Contracting Officer (CO), the Contracting Officer’s Representative (COR), government management personnel and customer agency representatives. Responsible for formulating and enforcing work standards, assigning contractor schedules, reviewing work discrepancies, supervising contractor personnel and communicating policies, purposes, and goals of the organization to subordinates. Shall be responsible for the overall contract performance and shall not serve in any other capacity. Ability to manage and ensure the successful completion of multiple technical tasks in assigned program(s).",8-11,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
6,Project Manager I,127.43,Bachelor's,"Responsible for planning and executing a project. Prepares and maintains the project schedule and budget. Prepares and delivers status reports to the customer. Primary point of contact for the customer. Oversees all work and takes corrective action as necessary to ensure project success. Manages staffing, budget, prioritization, and other personnel matters. May serve as technical lead for the project.",4-7,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
7,Business Systems Consultant III,166.09,Bachelor's,"Serves in a leadership or senior advisory role to the client in a specific area of functional or technical expertise to make recommendations that have an enterprise-wide impact in areas such as strategy, architecture, evaluation and selection of alternative approaches, implementation issues, and business process improvement. Includes the development of white papers, strategic planning documents, trade-off analyses, gap analyses, ROI justifications, study recommendations, concept of operations, enterprise architecture, and other documents.",10+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
8,Business Systems Consultant II,145.9,Bachelor's,"Applies a business-wide set of disciplines for the planning, analysis, design and construction of information systems on a business-wide basis or across a major sector of the business. Performs business strategic systems planning, information planning, business and analysis. Performs process and data modeling in support of the planning and analysis efforts using both manual and automated tools such as Integrated Computer Aided Software Engineering (I-CASE) tools. Applies reverse engineering and reengineering disciplines to develop migration of strategic and planning documents. Provides technical guidance in software engineering techniques and automated support tools.",6-9,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
9,Business Systems Consultant I,137.72,HS,Business Systems Consultants are experts in emerging information technologies and innovation; business; healthcare; government; business management; financial management; systems management; operations research; computer science; engineering; physics; math; behavioral science or related areas. Assists in developing programs and implementing creative and innovative solutions to the customer's problems. Researches and analyzes customer requirements. Applies expert knowledge to determine accuracy and reasonableness of data. Documents and summarizes the results of research; develops and recommends creative and innovative solutions to the customer's problems.,3-5,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
