,Role,05/27/16 - 05/26/17,05/27/17 - 05/26/18,05/27/18 - 05/26/19,05/27/19 - 05/26/20,05/27/20 - 05/26/21,Education,Functional Responsibility,Years of Experience,Company,socio_economic
0,Principal Systems Analyst,191.15,195.45,199.85,204.35,208.95,Bachelor’s Degree,"Develop and modify systems and subsystems. Support gathering information from users, defining work problems, designing and testing systems, and/or developing procedures to resolve the problems. Review requirements, research issues, perform analyses, compare alternatives, prepare specifications, resolve technical problems, coordinate work with programmers, or orient users to new systems.",8,ICF Incorporated,Other than small business
1,Senior Systems Analyst,133.35,136.35,139.42,142.56,145.77,Bachelor’s Degree,"Develop and modify systems and subsystems. Support gathering information from users, defining work problems, designing and testing systems, and/or developing procedures to resolve the problems. Review requirements, research issues, perform analyses, compare alternatives, prepare specifications, resolve technical problems, coordinate work with programmers, or orient users to new systems.",6,ICF Incorporated,Other than small business
2,Systems Analyst,109.01,111.46,113.97,116.53,119.15,Bachelor’s Degree,"Develop and modify systems and subsystems. Support gathering information from users, defining work problems, designing and testing systems, and/or developing procedures to resolve the problems. Review requirements, research issues, perform analyses, compare alternatives, prepare specifications, resolve technical problems, coordinate work with programmers, or orient users to new systems.",3,ICF Incorporated,Other than small business
3,Principal Programmer,157.87,161.42,165.05,168.76,172.56,Bachelor’s Degree,"Plan, develop, modify, analyze, and/or test software programs, Web sites, mobile applications, or other technologies. Participate in the design, coding, testing, configuration, and/or implementation of software products, tools, or services. Install and maintain software products.",8,ICF Incorporated,Other than small business
4,Senior Programmer,136.69,139.77,142.91,146.13,149.42,Bachelor’s Degree,"Plan, develop, modify, analyze, and/or test software programs, Web sites, mobile applications, or other technologies. Participate in the design, coding, testing, configuration, and/or implementation of software products, tools, or services. Install and maintain software products.",6,ICF Incorporated,Other than small business
5,Programmer,95.31,97.45,99.64,101.88,104.17,Bachelor’s Degree,"Plan, develop, modify, analyze, and/or test software programs, Web sites, mobile applications, or other technologies. Participate in the design, coding, testing, configuration, and/or implementation of software products, tools, or services. Install and maintain software products.",3,ICF Incorporated,Other than small business
6,Junior Programmer,81.53,83.36,85.24,87.16,89.12,Bachelor’s Degree,"Plan, develop, modify, analyze, and/or test software programs, Web sites, mobile applications, or other technologies. Participate in the design, coding, testing, configuration, and/or implementation of software products, tools, or services. Install and maintain software products.",0,ICF Incorporated,Other than small business
7,Principal Software Engineer,191.15,195.45,199.85,204.35,208.95,Bachelor’s Degree,"Provide system development, planning, research, architecture, system conversion, maintenance, implementation support, installation, configuration, and/or code integration services. Provide support for structured software engineering methods and automated application development software. Performs administration and operations support for systems, servers, cloud infrastructure, or other hosted environments.",8,ICF Incorporated,Other than small business
8,Senior Software Engineer,133.35,136.35,139.42,142.56,145.77,Bachelor’s Degree,"Provide system development, planning, research, architecture, system conversion, maintenance, implementation support, installation, configuration, and/or code integration services. Provide support for structured software engineering methods and automated application development software. Performs administration and operations support for systems, servers, cloud infrastructure, or other hosted environments.",6,ICF Incorporated,Other than small business
9,Software Engineer,109.01,111.46,113.97,116.53,119.15,Bachelor’s Degree,"Provide system development, planning, research, architecture, system conversion, maintenance, implementation support, installation, configuration, and/or code integration services. Provide support for structured software engineering methods and automated application development software. Performs administration and operations support for systems, servers, cloud infrastructure, or other hosted environments.",3,ICF Incorporated,Other than small business
10,Junior Software Engineer,81.53,83.36,85.24,87.16,89.12,Bachelor’s Degree,"Provide system development, planning, research, architecture, system conversion, maintenance, implementation support, installation, configuration, and/or code integration services. Provide support for structured software engineering methods and automated application development software. Performs administration and operations support for systems, servers, cloud infrastructure, or other hosted environments.",0,ICF Incorporated,Other than small business
11,Senior Network Engineer,133.35,136.35,139.42,142.56,145.77,Bachelor’s Degree,"Plan, design, install, maintain, and/or monitor networks. Evaluate hardware and software suitable for networks. Design, test, and implement interface programs. Develop security procedures. Manage network performance. Recommend changes in methods or procedures.",6,ICF Incorporated,Other than small business
12,Network Engineer,95.78,97.94,100.14,102.39,104.69,Bachelor’s Degree,"Plan, design, install, maintain, and/or monitor networks. Evaluate hardware and software suitable for networks. Design, test, and implement interface programs. Develop security procedures. Manage network performance. Recommend changes in methods or procedures.",3,ICF Incorporated,Other than small business
13,Principal Data Specialist/Informaticist,157.87,161.42,165.05,168.76,172.56,Bachelor’s Degree,"Provide technical expertise, design, configuration, administration, and/or maintenance of databases, data warehouses, and data systems. Perform data analysis, data structure, metadata, data architecture, and/or data visualization. Support data management and governance which may include data collection, cleaning, organization, modeling, and/or quality assurance. Participate in design and implementation of data collection methods, samples, protocols, and instruments. Perform data analysis, reporting, and development of findings. May include data scientist, survey research, or informaticist roles.",8,ICF Incorporated,Other than small business
14,Senior Data Specialist/Informaticist,136.69,139.77,142.91,146.13,149.42,Bachelor’s Degree,"Provide technical expertise, design, configuration, administration, and/or maintenance of databases, data warehouses, and data systems. Perform data analysis, data structure, metadata, data architecture, and/or data visualization. Support data management and governance which may include data collection, cleaning, organization, modeling, and/or quality assurance. Participate in design and implementation of data collection methods, samples, protocols, and instruments. Perform data analysis, reporting, and development of findings. May include data scientist, survey research, or informaticist roles.",6,ICF Incorporated,Other than small business
15,Data Specialist/Informaticist,95.78,97.94,100.14,102.39,104.69,Bachelor’s Degree,"Provide technical expertise, design, configuration, administration, and/or maintenance of databases, data warehouses, and data systems. Perform data analysis, data structure, metadata, data architecture, and/or data visualization. Support data management and governance which may include data collection, cleaning, organization, modeling, and/or quality assurance. Participate in design and implementation of data collection methods, samples, protocols, and instruments. Perform data analysis, reporting, and development of findings. May include data scientist, survey research, or informaticist roles.",3,ICF Incorporated,Other than small business
16,Junior Data Specialist/Informaticist,81.0,82.82,84.68,86.59,88.54,Bachelor’s Degree,"Provide technical expertise, design, configuration, administration, and/or maintenance of databases, data warehouses, and data systems. Perform data analysis, data structure, metadata, data architecture, and/or data visualization. Support data management and governance which may include data collection, cleaning, organization, modeling, and/or quality assurance. Participate in design and implementation of data collection methods, samples, protocols, and instruments. Perform data analysis, reporting, and development of findings. May include data scientist, survey research, or informaticist roles.",0,ICF Incorporated,Other than small business
17,Senior Project Manager,203.17,207.74,212.41,217.19,222.08,Bachelor’s Degree,"Organize, oversees, track, and/or coordinate tasks. Coordinate projects through systems development life cycles, if applicable. May support Agile development, including Product Manager roles. Ensure conformance with work requirements and applies policies, procedures, and project goals and objectives. Review work products for quality and completeness. Track and report metrics for schedule, resources, quality, and cost.",8,ICF Incorporated,Other than small business
18,Project Manager,157.87,161.42,165.05,168.76,172.56,Bachelor’s Degree,"Organize, oversees, track, and/or coordinate tasks. Coordinate projects through systems development life cycles, if applicable. May support Agile development, including Product Manager roles. Ensure conformance with work requirements and applies policies, procedures, and project goals and objectives. Review work products for quality and completeness. Track and report metrics for schedule, resources, quality, and cost.",6,ICF Incorporated,Other than small business
