,Role,10/12/2017 - 10/11/2018,10/12/2018 - 10/11/2019,10/12/2019 - 10/11/2020,10/12/2020 - 10/11/2021,10/12/2021 - 10/11/2022,Education,Functional Responsibility,Years of Experience,Company,socio_economic
0,Project Manager,146.03,148.8,151.63,154.51,157.45,Master's,"Serves as the Contractor counterpart to the Government program/technical managers. Manages program/technical support operations involving multiple project/task orders and personnel, possibly at diverse locations. Organizes, directs, and coordinates planning and execution of all program/technical support activities. Has proven information technology expertise and communications skills to be able to interface with all levels of management. Plans and manages the progress of several highly technical projects. Establishes, monitors, and adjusts management structure to direct program/technical support activities in a most effective manner. Uses project automation tools to monitor the budget and schedule of various tasks and activities. Meets and confers with Government management officials regarding the status of specific program/technical activities and problems, issues or conflicts regarding resolution.",15,PSI International,Other than small business
1,Database Management Specialist,125.67,128.06,130.49,132.97,135.5,Bachelor's,"Manages and/or develops database projects. Provides highly technical expertise in the use of DBMS concepts. Provides technical expertise and support in the use of Data Base Management Systems (DBMS). Evaluates and recommends available DBMS products and services to supports validated user requirements. Defines file organization, indexing methods, and security procedures for specific user applications. Develops, implements, and maintains database back-up and recovery procedures for the processing environments, and ensures data integrity, security and recoverability of DBMS applications.",12,PSI International,Other than small business
2,Senior Functional Analyst,136.22,138.81,141.45,144.13,146.87,Bachelor's,Analyzes user needs to determine functional and cross- functional requirements. Performs functional allocation to identify required tasks and their interrelationships. Provides daily supervision to support staff.,10,PSI International,Other than small business
3,Senior Application Engineer,124.39,126.75,129.16,131.62,134.12,Bachelor's,Analyzes and studies complex system requirements. Designs software tools and subsystems to support software reuse and domain analyses and manages their implementation. Manages software development. Estimates software development costs and schedule.,10,PSI International,Other than small business
4,Application Engineer,116.99,119.21,121.48,123.79,126.14,Bachelor's,"Analyzes functional business applications and design specification for functional activities. Develops block diagrams and logic flow charts. Translates detailed design into computer software. Tests, debugs, and refines computer software to produce the required product. Prepares required documentation, including both program-level and user-level documentation. Enhances software to reduce operating time or improve efficiency. Provides technical direction to programmers to ensure program deadlines are met.",8,PSI International,Other than small business
5,System Engineer,92.54,94.3,96.09,97.92,99.78,Bachelor's,"Applies software, hardware, and standards information technology skills in the analysis, specification, development, troubleshooting, integration, and acquisition of systems for information management applications. Ensures systems and applications are compliant with organizational standards for open systems architectures, reference models, and profiles of standards as they apply to the implementation and specification of information management solutions on the application platform, across the application program interface, and the external environment/software application. Evaluates and recommends COTS applications and methodologies that can be acquired to provide interoperable, portable, and scalable information technology solutions. Evaluates hardware and software environments for optimum operational efficiency. Troubleshoots system problems and recommends correction actions. Performs analysis and validation of reusable software/hardware components to ensure the integration of these components into interoperable information management design.",7,PSI International,Other than small business
6,Principal Information Engineer,102.97,104.93,106.92,108.95,111.02,Master's,"Applies an enterprise-wide set of disciplines for the planning, analysis, design and construction of information systems. Develops analytical and computational techniques and methodology for problem solutions.",10,PSI International,Other than small business
7,Senior Computer System Analyst,109.8,111.89,114.01,116.18,118.39,Bachelor's,"Provides technical and administrative direction for personnel performing software development tasks, including the review of work products for correctness, adherence to the design concept and to user standards, and for progress in accordance with schedules.",10,PSI International,Other than small business
8,Application Programmer,77.91,79.39,80.9,82.44,84.0,Bachelor's,"Analyzes functional business applications and design specifications for functional areas such as payroll, logistics, and contracts. Translates detailed design into computer software. Tests, debugs, and refines the computer software to produce the required product. Prepares required documentation, including both program-level and user-level documentation. Enhances software to reduce operating time or improve efficiency. Provides technical direction to programmers as required to ensure program deadlines are met.",5,PSI International,Other than small business
9,Senior Network Installation Technician,76.72,78.18,79.66,81.18,82.72,HS,Organizes and directs network installations on site surveys. Assesses and documents current site network configuration and user requirements. Designs and optimizes network topologies. Directs and leads preparation of engineering plans and site installation Technical Design Packages. Develops installation schedules. Prepares site installation and test reports. Coordinates post installation operations and maintenance support.,9,PSI International,Other than small business
